seller-sku	asin1	price	quantity
LNV-82KU00A9US-8G-256G-W10H-V1	B0B37ZZZJK	649	20
LNV-82KU00A9US-8G-256G-W10P-V1	B0B382R4CW	699	20
LNV-82KU00A9US-8G-256G-W11H-V1	B0B3844R2Z	649	20
LNV-82KU00A9US-8G-256G-W11P-V1	B0B384S819	699	20
LNV-82R9000KUS-16GB-1TB-W10H-K1	B0B9R56N5X	1049	20
LNV-82R9000KUS-16GB-1TB-W10P-K1	B0B9RBCN2X	1099	20
LNV-82R9000KUS-16GB-1TB-W11H-K1	B0B9R6QY9P	1049	20
LNV-82R9000KUS-16GB-1TB-W11P-K1	B0B9RKNVY4	1099	17
LNV-82R9000KUS-16GB-2TB-W10H-K1	B0B9QSGJF8	1199	20
LNV-82R9000KUS-16GB-2TB-W10P-K1	B0B9R743VT	1249	18
LNV-82R9000KUS-16GB-2TB-W11H-K1	B0B9R8TY7K	1199	20
LNV-82R9000KUS-16GB-2TB-W11P-K1	B0B9RKQJKD	1249	20
LNV-82R9000KUS-16GB-512GB-W10P-K1	B0B9R9JFMG	999	20
LNV-82R9000KUS-16GB-512GB-W11P-K1	B0B9RDM6Y7	924.99	15
LNV-82S9-16GB-512GB-1TB-W10H-K1	B0BWLSYGXB	1249	5
LNV-82S9-16GB-512GB-1TB-W10P-K1	B0BWL6DV7Q	1299	5
LNV-82S9-16GB-512GB-1TB-W11H-K1	B0BWLR1FC6	1249	5
LNV-82S9-16GB-512GB-1TB-W11P-K1	B0BWLCW2ZZ	1299	5
LNV-82S9-24GB-512GB-1TB-W10H-K1	B0BWL2LNXN	1299	5
